gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000005302.19,MSL3,protein_coding,1052,532,520,7.095,2.1504,2.1773
ENSG00000005339.15,CREBBP,protein_coding,4863,2416,2447,20.7223,6.2806,6.3591
ENSG00000005379.17,TSPOAP1,protein_coding,716,358,363,4.1467,1.2568,1.2725
ENSG00000005381.8,MPO,protein_coding,14,7,7,0.2618,0.0794,0.0803
ENSG00000005421.9,PON1,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000005448.17,WDR54,protein_coding,441,240,218,10.1992,3.0912,3.1299
ENSG00000005469.12,CROT,protein_coding,933,489,444,12.3203,3.7341,3.7808
ENSG00000005471.19,ABCB4,protein_coding,60,31,29,0.5121,0.1552,0.1572
ENSG00000005483.21,KMT2E,protein_coding,4455,2353,2470,29.5355,8.9517,9.0637
ENSG00000005486.17,RHBDD2,protein_coding,5162,2454,2708,142.461,43.1776,43.7177
ENSG00000005513.10,SOX8,protein_coding,10,7,5,0.1476,0.0447,0.0453
ENSG00000005700.15,IBTK,protein_coding,1529,791,738,11.5669,3.5057,3.5496
ENSG00000005801.18,ZNF195,protein_coding,1443,747,697,8.1273,2.4633,2.4941
ENSG00000005810.18,MYCBP2,protein_coding,3429,2058,2088,14.1474,4.2878,4.3415
ENSG00000005812.11,FBXL3,protein_coding,2167,2045,2084,20.1998,6.1222,6.1988
ENSG00000005844.19,ITGAL,protein_coding,575,333,334,3.8449,1.1653,1.1799
ENSG00000005882.12,PDK2,protein_coding,2616,2686,2742,31.5389,9.5589,9.6785
ENSG00000005884.18,ITGA3,protein_coding,4843,2346,2497,32.5893,9.8773,10.0009
ENSG00000005889.16,ZFX,protein_coding,930,464,468,6.7879,2.0573,2.083
ENSG00000005893.16,LAMP2,protein_coding,8469,4231,4238,59.4012,18.0036,18.2288
ENSG00000005961.19,ITGA2B,protein_coding,2,1,1,0.0232,0.007,0.0071
ENSG00000005981.13,ASB4,protein_coding,54,29,25,0.7733,0.2344,0.2373
ENSG00000006016.11,CRLF1,protein_coding,22,284,284,0.4891,0.1482,0.1501
ENSG00000006025.12,OSBPL7,protein_coding,1010,490,520,10.1368,3.0723,3.1107
ENSG00000006042.12,TMEM98,protein_coding,7264,3702,3562,92.3709,27.9961,28.3463
ENSG00000006047.13,YBX2,protein_coding,355,179,176,5.0563,1.5325,1.5516
ENSG00000006059.4,KRT33A,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000006062.17,MAP3K14,protein_coding,1248,809,842,14.5231,4.4017,4.4568
ENSG00000006071.15,ABCC8,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000006116.4,CACNG3,protein_coding,1,1,0,0.0344,0.0104,0.0106
ENSG00000006118.15,TMEM132A,protein_coding,1260,707,669,11.4254,3.4629,3.5062
ENSG00000006125.18,AP2B1,protein_coding,15283,7670,7645,132.7961,40.2484,40.7518
ENSG00000006128.12,TAC1,protein_coding,2384,1161,1223,91.8498,27.8382,28.1864
ENSG00000006194.10,ZNF263,protein_coding,2451,1330,1265,25.2485,7.6524,7.7481
ENSG00000006210.7,CX3CL1,protein_coding,2373,1172,1201,26.262,7.9596,8.0591
ENSG00000006282.21,SPATA20,protein_coding,2553,1312,1242,31.5522,9.563,9.6826
ENSG00000006283.18,CACNA1G,protein_coding,6,2,4,0.0393,0.0119,0.0121
ENSG00000006327.14,TNFRSF12A,protein_coding,3076,1576,1501,112.6545,34.1438,34.5709
ENSG00000006377.11,DLX6,protein_coding,368,180,203,7.0459,2.1355,2.1622
ENSG00000006432.15,MAP3K9,protein_coding,710,374,336,3.781,1.146,1.1603
ENSG00000006451.8,RALA,protein_coding,5406,2802,2605,99.63,30.1963,30.574
ENSG00000006453.14,BAIAP2L1,protein_coding,6793,4911,5028,92.9395,28.1685,28.5208
ENSG00000006459.11,KDM7A,protein_coding,4027,2032,1995,28.3235,8.5844,8.6918
ENSG00000006468.14,ETV1,protein_coding,229,130,99,1.5709,0.4761,0.4821
ENSG00000006530.18,AGK,protein_coding,1685,1043,1078,10.39,3.149,3.1884
ENSG00000006534.16,ALDH3B1,protein_coding,2490,1249,1244,24.787,7.5125,7.6065
ENSG00000006555.11,TTC22,protein_coding,1273,637,636,13.7402,4.1644,4.2165
ENSG00000006576.16,PHTF2,protein_coding,888,440,448,6.7744,2.0532,2.0789
ENSG00000006606.9,CCL26,protein_coding,32,15,17,3.0024,0.91,0.9214
ENSG00000006607.14,FARP2,protein_coding,2665,1784,1686,12.2317,3.7072,3.7536
ENSG00000006611.17,USH1C,protein_coding,13619,6718,6902,183.1768,55.518,56.2124
ENSG00000006634.8,DBF4,protein_coding,1177,579,626,16.8953,5.1207,5.1848
ENSG00000006638.13,TBXA2R,protein_coding,36,16,20,0.8399,0.2546,0.2578
ENSG00000006652.15,IFRD1,protein_coding,536,287,249,4.4741,1.356,1.373
ENSG00000006659.13,LGALS14,protein_coding,1,0,1,0.073,0.0221,0.0224
ENSG00000006695.12,COX10,protein_coding,928,484,444,9.0601,2.746,2.7803
ENSG00000006704.11,GTF2IRD1,protein_coding,7830,3855,3975,79.4678,24.0854,24.3867
ENSG00000006712.15,PAF1,protein_coding,1688,883,880,39.0664,11.8404,11.9885
ENSG00000006715.16,VPS41,protein_coding,3596,1777,1819,30.5972,9.2735,9.3895
ENSG00000006740.17,ARHGAP44,protein_coding,826,556,582,5.8445,1.7714,1.7935
ENSG00000006744.19,ELAC2,protein_coding,3033,1591,1460,28.571,8.6594,8.7677
ENSG00000006747.15,SCIN,protein_coding,1210,638,608,6.8648,2.0806,2.1067
ENSG00000006756.16,ARSD,protein_coding,3454,2420,2438,32.4257,9.8277,9.9507
ENSG00000006757.12,PNPLA4,protein_coding,993,502,491,19.2019,5.8198,5.8926
ENSG00000006788.14,MYH13,protein_coding,1,0,1,0.0108,0.0033,0.0033
ENSG00000006831.10,ADIPOR2,protein_coding,5062,2533,2530,57.2605,17.3547,17.5718
ENSG00000006837.12,CDKL3,protein_coding,7,4,3,0.1466,0.0444,0.045
ENSG00000007001.13,UPP2,protein_coding,1,1,0,0.0223,0.0068,0.0068
ENSG00000007038.11,PRSS21,protein_coding,9,3,6,0.3018,0.0915,0.0926
ENSG00000007047.15,MARK4,protein_coding,919,473,446,9.1071,2.7602,2.7947
ENSG00000007062.12,PROM1,protein_coding,20533,10338,10195,181.6201,55.0462,55.7347
ENSG00000007080.11,CCDC124,protein_coding,5905,2983,2922,234.4909,71.0704,71.9594
ENSG00000007129.18,CEACAM21,protein_coding,73,42,32,2.4355,0.7382,0.7474
ENSG00000007168.14,PAFAH1B1,protein_coding,3195,2088,2080,15.3032,4.6381,4.6962
ENSG00000007171.18,NOS2,protein_coding,1819,890,929,27.2744,8.2664,8.3698
ENSG00000007174.18,DNAH9,protein_coding,22,11,12,0.0857,0.026,0.0263
ENSG00000007202.15,KIAA0100,protein_coding,5837,5034,4825,41.7032,12.6396,12.7977
ENSG00000007216.15,SLC13A2,protein_coding,1921,941,980,39.277,11.9042,12.0531
ENSG00000007237.19,GAS7,protein_coding,380,186,194,2.4675,0.7478,0.7572
ENSG00000007255.10,TRAPPC6A,protein_coding,1858,922,937,131.3529,39.811,40.309
ENSG00000007264.15,MATK,protein_coding,155,73,82,2.4707,0.7488,0.7582
ENSG00000007306.15,CEACAM7,protein_coding,1226,633,603,30.481,9.2383,9.3539
ENSG00000007312.13,CD79B,protein_coding,72,37,35,2.3031,0.698,0.7068
ENSG00000007314.12,SCN4A,protein_coding,15,8,7,0.12,0.0364,0.0368
ENSG00000007341.19,ST7L,protein_coding,585,488,481,4.759,1.4424,1.4604
ENSG00000007350.17,TKTL1,protein_coding,2,0,2,0.0374,0.0113,0.0115
ENSG00000007372.24,PAX6,protein_coding,3,65,84,0.0096,0.0029,0.0029
ENSG00000007392.17,LUC7L,protein_coding,1406,715,691,15.016,4.5511,4.608
ENSG00000007402.12,CACNA2D2,protein_coding,428,353,398,4.3378,1.3147,1.3312
ENSG00000007516.14,BAIAP3,protein_coding,291,428,418,3.1419,0.9523,0.9642
ENSG00000007541.17,PIGQ,protein_coding,1112,519,593,9.3364,2.8297,2.8651
ENSG00000007545.16,CRAMP1,protein_coding,680,336,364,5.2178,1.5814,1.6012
ENSG00000007866.22,TEAD3,protein_coding,1739,856,883,37.6199,11.402,11.5446
ENSG00000007908.16,SELE,protein_coding,97,40,57,1.3951,0.4228,0.4281
ENSG00000007923.16,DNAJC11,protein_coding,2725,2545,2606,35.3608,10.7173,10.8514
ENSG00000007933.13,FMO3,protein_coding,62,27,35,1.1891,0.3604,0.3649
ENSG00000007944.15,MYLIP,protein_coding,3691,1812,1879,79.2499,24.0194,24.3198
ENSG00000007952.18,NOX1,protein_coding,3796,1960,1837,98.459,29.8414,30.2146
ENSG00000007968.7,E2F2,protein_coding,845,446,399,10.2042,3.0927,3.1314
ENSG00000008018.9,PSMB1,protein_coding,9498,4789,4709,282.3258,85.5684,86.6388
ENSG00000008056.14,SYN1,protein_coding,18,31,31,0.318,0.0964,0.0976
ENSG00000008083.14,JARID2,protein_coding,1991,986,1005,21.0322,6.3745,6.4543
ENSG00000008086.13,CDKL5,protein_coding,391,188,211,1.3534,0.4102,0.4153
ENSG00000008118.10,CAMK1G,protein_coding,12,6,6,0.2378,0.0721,0.073
ENSG00000008128.23,CDK11A,protein_coding,118,62,56,1.5306,0.4639,0.4697
ENSG00000008130.15,NADK,protein_coding,5242,2498,2745,62.0751,18.814,19.0493
ENSG00000008196.13,TFAP2B,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000008197.5,TFAP2D,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000008226.20,DLEC1,protein_coding,21,537,528,0.1661,0.0503,0.051
ENSG00000008256.16,CYTH3,protein_coding,1715,825,890,19.4766,5.903,5.9769
ENSG00000008277.14,ADAM22,protein_coding,375,180,195,2.0276,0.6145,0.6222
ENSG00000008282.9,SYPL1,protein_coding,10615,5394,5221,251.5837,76.251,77.2048
ENSG00000008283.16,CYB561,protein_coding,9681,4821,4860,120.5724,36.5436,37.0007
ENSG00000008294.21,SPAG9,protein_coding,3846,1962,1885,21.2,6.4254,6.5058
ENSG00000008300.17,CELSR3,protein_coding,603,300,303,2.8717,0.8704,0.8813
ENSG00000008311.15,AASS,protein_coding,524,258,266,5.1865,1.5719,1.5916
ENSG00000008323.15,PLEKHG6,protein_coding,4585,2319,2268,70.9914,21.5163,21.7855
ENSG00000008324.12,SS18L2,protein_coding,1271,664,656,26.8872,8.1491,8.251
ENSG00000008382.16,MPND,protein_coding,1521,1733,1830,48.9624,14.8397,15.0254
ENSG00000008394.13,MGST1,protein_coding,3012,1483,1529,26.6993,8.0921,8.1933
ENSG00000008405.12,CRY1,protein_coding,796,412,404,10.9794,3.3277,3.3693
ENSG00000008438.5,PGLYRP1,protein_coding,1,0,1,0.0932,0.0282,0.0286
ENSG00000008441.18,NFIX,protein_coding,11084,5640,5447,113.6119,34.4339,34.8647
ENSG00000008513.16,ST3GAL1,protein_coding,3866,1910,1956,28.8069,8.7309,8.8401
ENSG00000008516.17,MMP25,protein_coding,99,110,89,1.5379,0.4661,0.4719
ENSG00000008517.18,IL32,protein_coding,9203,4667,4536,189.1627,57.3322,58.0493
ENSG00000008710.20,PKD1,protein_coding,1483,1157,1147,5.2777,1.5996,1.6196
ENSG00000008735.14,MAPK8IP2,protein_coding,315,157,158,3.5866,1.087,1.1006
ENSG00000008838.20,MED24,protein_coding,5940,2989,2951,56.2766,17.0565,17.2699
ENSG00000008853.17,RHOBTB2,protein_coding,335,314,294,3.3424,1.013,1.0257
ENSG00000008869.12,HEATR5B,protein_coding,1621,819,802,12.9789,3.9337,3.9829
ENSG00000008952.17,SEC62,protein_coding,4949,2452,2497,41.1746,12.4794,12.6355
ENSG00000009307.16,CSDE1,protein_coding,13885,6979,6907,158.5054,48.0404,48.6414
ENSG00000009335.18,UBE3C,protein_coding,8046,3992,4054,57.5918,17.4551,17.6735
ENSG00000009413.16,REV3L,protein_coding,525,314,318,2.787,0.8447,0.8553
ENSG00000009694.13,TENM1,protein_coding,2,2,0,0.0102,0.0031,0.0031
ENSG00000009709.12,PAX7,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000009724.17,MASP2,protein_coding,89,78,110,1.379,0.418,0.4232
ENSG00000009780.16,FAM76A,protein_coding,697,345,352,11.3627,3.4439,3.4869
ENSG00000009790.15,TRAF3IP3,protein_coding,172,249,204,1.4639,0.4437,0.4492
ENSG00000009830.12,POMT2,protein_coding,763,404,359,5.0292,1.5243,1.5433
ENSG00000009950.16,MLXIPL,protein_coding,4369,2137,2232,59.8496,18.1395,18.3664
ENSG00000009954.11,BAZ1B,protein_coding,7159,3583,3576,66.8842,20.2715,20.5251
ENSG00000010017.13,RANBP9,protein_coding,1019,823,831,18.5772,5.6305,5.7009
ENSG00000010030.14,ETV7,protein_coding,1212,587,625,33.6742,10.2061,10.3338
ENSG00000010165.20,EEF1AKNMT,protein_coding,2838,1459,1379,48.8625,14.8095,14.9947
ENSG00000010219.13,DYRK4,protein_coding,494,252,242,4.6192,1.4,1.4175
ENSG00000010244.19,ZNF207,protein_coding,5867,2953,2914,24.4647,7.4149,7.5076
ENSG00000010256.11,UQCRC1,protein_coding,18841,9436,9406,387.8709,117.5574,119.028
ENSG00000010270.14,STARD3NL,protein_coding,2281,1143,1138,34.7949,10.5458,10.6777
ENSG00000010278.15,CD9,protein_coding,29136,14886,14250,329.6944,99.9251,101.175
ENSG00000010292.13,NCAPD2,protein_coding,8113,4205,4234,82.709,25.0678,25.3814
ENSG00000010295.20,IFFO1,protein_coding,302,152,150,4.0282,1.2209,1.2362
ENSG00000010310.9,GIPR,protein_coding,218,107,111,2.8367,0.8598,0.8705
ENSG00000010318.21,PHF7,protein_coding,336,174,162,6.5881,1.9967,2.0217
ENSG00000010319.7,SEMA3G,protein_coding,255,123,132,3.3326,1.0101,1.0227
ENSG00000010322.16,NISCH,protein_coding,4400,2171,2230,32.0261,9.7066,9.828
ENSG00000010327.10,STAB1,protein_coding,975,668,668,6.0739,1.8409,1.8639
ENSG00000010361.14,FUZ,protein_coding,44,183,179,0.9828,0.2979,0.3016
ENSG00000010379.16,SLC6A13,protein_coding,2,2,0,0.0311,0.0094,0.0095
ENSG00000010404.18,IDS,protein_coding,187,78,109,1.3271,0.4022,0.4073
ENSG00000010438.17,PRSS3,protein_coding,5777,4470,4555,267.4011,81.045,82.0588
ENSG00000010539.12,ZNF200,protein_coding,845,445,461,7.4334,2.2529,2.2811
ENSG00000010610.10,CD4,protein_coding,1083,539,544,15.6756,4.751,4.8105
ENSG00000010626.15,LRRC23,protein_coding,453,230,223,9.7902,2.9672,3.0044
ENSG00000010671.16,BTK,protein_coding,148,82,66,2.1338,0.6467,0.6548
ENSG00000010704.18,HFE,protein_coding,445,221,224,5.1721,1.5676,1.5872
ENSG00000010803.16,SCMH1,protein_coding,2042,1184,1216,30.2876,9.1797,9.2945
ENSG00000010810.17,FYN,protein_coding,690,351,339,6.1411,1.8613,1.8846
ENSG00000010818.10,HIVEP2,protein_coding,1258,675,707,7.7876,2.3603,2.3898
ENSG00000010932.17,FMO1,protein_coding,26,15,11,0.4761,0.1443,0.1461
ENSG00000011007.12,ELOA,protein_coding,2796,1984,2015,34.2093,10.3683,10.498
ENSG00000011009.11,LYPLA2,protein_coding,8132,4058,4074,265.4036,80.4396,81.4458
ENSG00000011021.23,CLCN6,protein_coding,932,502,458,7.5216,2.2797,2.3082
ENSG00000011028.14,MRC2,protein_coding,1841,1018,1025,18.4238,5.5839,5.6538
ENSG00000011083.9,SLC6A7,protein_coding,123,60,67,1.8969,0.5749,0.5821
ENSG00000011105.14,TSPAN9,protein_coding,2574,1312,1263,24.5879,7.4522,7.5454
ENSG00000011114.15,BTBD7,protein_coding,1956,953,1003,11.3841,3.4503,3.4935
ENSG00000011132.12,APBA3,protein_coding,1475,857,871,17.3856,5.2693,5.3352
ENSG00000011143.19,MKS1,protein_coding,626,329,336,3.6589,1.1089,1.1228
ENSG00000011198.10,ABHD5,protein_coding,494,257,239,4.322,1.3099,1.3263
ENSG00000011201.12,ANOS1,protein_coding,843,438,405,7.8514,2.3796,2.4094
ENSG00000011243.18,AKAP8L,protein_coding,2067,2048,2013,26.8434,8.1358,8.2376
ENSG00000011258.16,MBTD1,protein_coding,1431,721,710,13.1386,3.9821,4.0319
ENSG00000011260.14,UTP18,protein_coding,2491,1263,1228,60.786,18.4233,18.6537
ENSG00000011275.19,RNF216,protein_coding,4061,1940,2122,35.3565,10.716,10.85
ENSG00000011295.16,TTC19,protein_coding,2308,1166,1171,25.146,7.6214,7.7167
ENSG00000011304.22,PTBP1,protein_coding,19118,9379,9740,167.6651,50.8166,51.4523
ENSG00000011332.19,DPF1,protein_coding,80,46,37,1.0993,0.3332,0.3374
ENSG00000011347.10,SYT7,protein_coding,10455,5068,5388,91.3141,27.6758,28.022
ENSG00000011376.12,LARS2,protein_coding,2932,1469,1463,15.5874,4.7243,4.7834
ENSG00000011405.13,PIK3C2A,protein_coding,2035,1037,998,14.5836,4.42,4.4753
ENSG00000011422.12,PLAUR,protein_coding,895,445,450,13.2451,4.0144,4.0646
ENSG00000011426.11,ANLN,protein_coding,2200,1121,1117,24.1972,7.3338,7.4255
ENSG00000011451.21,WIZ,protein_coding,4618,2239,2379,30.3477,9.1979,9.313
ENSG00000011454.18,RABGAP1,protein_coding,4057,2025,2032,34.9525,10.5936,10.7261
ENSG00000011465.18,DCN,protein_coding,4207,2129,2078,21.4427,6.499,6.5802
ENSG00000011478.13,QPCTL,protein_coding,745,370,381,17.3946,5.272,5.338
ENSG00000011485.15,PPP5C,protein_coding,2019,1153,1098,18.7857,5.6936,5.7649
ENSG00000011523.14,CEP68,protein_coding,1982,1130,1172,15.1608,4.595,4.6525
ENSG00000011566.15,MAP4K3,protein_coding,1735,858,878,18.8968,5.7273,5.799
ENSG00000011590.14,ZBTB32,protein_coding,21,14,7,0.5057,0.1533,0.1552
ENSG00000011600.12,TYROBP,protein_coding,628,309,319,45.6697,13.8418,14.0149
ENSG00000011638.11,TMEM159,protein_coding,1633,811,822,42.1077,12.7622,12.9218
ENSG00000011677.13,GABRA3,protein_coding,2,1,1,0.0318,0.0096,0.0098
ENSG00000012048.23,BRCA1,protein_coding,1441,749,697,10.2135,3.0956,3.1343
ENSG00000012061.16,ERCC1,protein_coding,1341,1121,1144,15.8657,4.8086,4.8688
ENSG00000012124.17,CD22,protein_coding,107,46,61,1.1448,0.347,0.3513
ENSG00000012171.20,SEMA3B,protein_coding,756,374,382,8.6451,2.6202,2.653
ENSG00000012174.12,MBTPS2,protein_coding,886,443,443,6.5332,1.9801,2.0049
ENSG00000012211.13,PRICKLE3,protein_coding,586,2492,2519,10.5722,3.2043,3.2444
ENSG00000012223.13,LTF,protein_coding,460,240,220,7.6062,2.3053,2.3342
ENSG00000012232.9,EXTL3,protein_coding,1048,522,527,5.2986,1.6059,1.626
ENSG00000012504.15,NR1H4,protein_coding,1,0,1,0.0182,0.0055,0.0056
ENSG00000012660.14,ELOVL5,protein_coding,2038,990,1048,35.2544,10.685,10.8187
ENSG00000012779.11,ALOX5,protein_coding,476,251,225,8.4173,2.5512,2.5831
ENSG00000012817.16,KDM5D,protein_coding,1757,826,938,12.2467,3.7118,3.7582
ENSG00000012822.16,CALCOCO1,protein_coding,4989,2515,2474,36.9826,11.2088,11.349
ENSG00000012983.11,MAP4K5,protein_coding,1418,789,731,12.2743,3.7201,3.7667
ENSG00000013016.16,EHD3,protein_coding,226,120,106,3.0895,0.9364,0.9481
ENSG00000013275.8,PSMC4,protein_coding,2599,1282,1317,67.2267,20.3753,20.6302
ENSG00000013288.9,MAN2B2,protein_coding,2975,1468,1507,22.0879,6.6945,6.7782
